,precision,recall,f1-score,support,Model
Blue/Blue-Mixed,0.967479675,0.952,0.959677419,625,Logistic Regression
Dark-Mixed/Brown,0.94966443,0.965870307,0.957698816,586,Logistic Regression
accuracy,0.958711808,0.958711808,0.958711808,0.958711808,Logistic Regression
macro avg,0.958572052,0.958935154,0.958688117,1211,Logistic Regression
weighted avg,0.95885892,0.958711808,0.958719978,1211,Logistic Regression
Blue/Blue-Mixed,0.969004894,0.9504,0.959612278,625,Random Forest
Dark-Mixed/Brown,0.948160535,0.967576792,0.95777027,586,Random Forest
accuracy,0.958711808,0.958711808,0.958711808,0.958711808,Random Forest
macro avg,0.958582715,0.958988396,0.958691274,1211,Random Forest
weighted avg,0.958918359,0.958711808,0.958720935,1211,Random Forest
Blue/Blue-Mixed,0.968801314,0.944,0.95623987,625,Gradient Boosting
Dark-Mixed/Brown,0.941860465,0.967576792,0.954545455,586,Gradient Boosting
accuracy,0.955408753,0.955408753,0.955408753,0.955408753,Gradient Boosting
macro avg,0.955330889,0.955788396,0.955392662,1211,Gradient Boosting
weighted avg,0.955764702,0.955408753,0.955419947,1211,Gradient Boosting
Blue/Blue-Mixed,0.948635634,0.9456,0.947115385,625,Neural Network (MLP)
Dark-Mixed/Brown,0.942176871,0.945392491,0.943781942,586,Neural Network (MLP)
accuracy,0.945499587,0.945499587,0.945499587,0.945499587,Neural Network (MLP)
macro avg,0.945406252,0.945496246,0.945448663,1211,Neural Network (MLP)
weighted avg,0.945510254,0.945499587,0.94550234,1211,Neural Network (MLP)
Blue/Blue-Mixed,0.917721519,0.928,0.92283214,625,Decision Tree
Dark-Mixed/Brown,0.922279793,0.911262799,0.916738197,586,Decision Tree
accuracy,0.919900908,0.919900908,0.919900908,0.919900908,Decision Tree
macro avg,0.920000656,0.919631399,0.919785169,1211,Decision Tree
weighted avg,0.919927257,0.919900908,0.919883296,1211,Decision Tree
